Date,Home,Visitor,GameID,WinDiff,HomeAdv,WPctDiff,RunDiff,RADiff,RPGDiff,H2H,AVG,SLG,OBP,ISO,OPS,DER,PythagDiff,ERA,WHIP,BB9,K9,HR9,FIP,HWin
20230409,ANA,TOR,20230409ANATOR,0,-4,0.069,3,-18,0.95,0,-0.073,-0.019,-0.015,0.054,-0.092,0.079,0.24199999999999994,0,0,0,0,0,0,False
20230410,ANA,WAS,20230410ANAWAS,2,-1,0.256,16,-16,2.22,0,0.262,0.595,0.354,0.333,0.857,0.717,0.296,0,0,0,0,0,0,False
20230411,ANA,WAS,20230411ANAWAS,1,-2,0.136,14,-14,1.82,-1,-0.082,0.127,-0.012,0.209,0.045,0.097,0.236,0,0,0,0,0,0,True
20230412,ANA,WAS,20230412ANAWAS,2,-1,0.212,16,-16,1.81,0,0.018,0.217,0.052,0.199,0.235,0.007,0.264,0,0,0,0,0,0,True
20230421,ANA,KCA,20230421ANAKCA,5,0,0.263,32,-27,1.68,0,0.281,0.477,0.408,0.196,0.758,0.61,0.30000000000000004,0.0,0.71,10.29,18.0,1.29,4.81,True
20230422,ANA,KCA,20230422ANAKCA,6,1,0.3,34,-29,1.7,1,0.126,0.319,0.206,0.193,0.445,-0.135,0.31600000000000006,9.64,0.64,3.85,7.71,5.78,11.02,False
20230423,ANA,KCA,20230423ANAKCA,5,0,0.238,31,-26,1.48,0,0.058,0.162,0.097,0.104,0.22,-0.09,0.261,7.2,0.47,3.6,9.0,1.8,5.5,True
20230424,ANA,OAK,20230424ANAOAK,7,3,0.318,30,-81,1.36,1,0.269,0.519,0.377,0.25,0.788,0.625,0.365,9.0,0.92,2.25,4.5,0.0,2.85,False
20230425,ANA,OAK,20230425ANAOAK,6,2,0.261,29,-80,1.26,0,-0.087,-0.522,-0.032,-0.435,-0.609,-0.123,0.336,3.6,0.33,0.0,7.2,0.0,2.1,True
20230426,ANA,OAK,20230426ANAOAK,7,3,0.292,31,-82,1.29,1,0.063,-0.092,0.1,-0.155,-0.029,-0.216,0.341,1.5,0.39,1.5,3.0,0.0,2.93,True
20230427,ANA,OAK,20230427ANAOAK,8,4,0.32,39,-90,1.56,2,0.077,0.082,0.092,0.005,0.159,-0.153,0.37399999999999994,0.0,0.6,6.43,19.93,1.93,3.81,True
20230505,ANA,TEX,20230505ANATEX,0,2,-0.038,-21,20,-1.06,0,0.296,0.561,0.399,0.265,0.857,0.585,-0.11199999999999999,9.0,0.53,1.8,4.5,2.7,6.9,True
20230506,ANA,TEX,20230506ANATEX,1,3,-0.005,-20,19,-0.99,1,0.035,0.179,0.005,0.144,0.214,-0.028,-0.1050000000000001,5.06,0.47,2.53,9.28,2.53,6.1,False
20230507,ANA,TEX,20230507ANATEX,0,2,-0.035,-29,28,-1.23,0,-0.013,0.161,-0.014,0.174,0.148,0.043,-0.1479999999999999,11.0,0.78,3.0,7.0,5.0,9.77,False
20230508,ANA,HOU,20230508ANAHOU,2,0,0.043,35,43,0.88,0,0.307,0.54,0.4,0.233,0.847,0.602,-0.03499999999999992,2.08,0.33,0.69,4.85,0.69,3.48,True
20230509,ANA,HOU,20230509ANAHOU,3,1,0.07,37,41,0.91,1,0.056,0.124,0.147,0.068,0.18,-0.143,-0.02200000000000002,2.25,0.65,6.3,17.55,2.25,5.15,False
20230510,ANA,HOU,20230510ANAHOU,2,0,0.041,35,43,0.83,0,0.082,0.119,0.138,0.037,0.201,-0.179,-0.03200000000000003,4.5,0.37,1.8,9.9,0.9,3.1,False
20230519,ANA,MIN,20230519ANAMIN,-1,0,-0.034,21,55,0.37,0,0.29,0.52,0.372,0.23,0.81,0.612,-0.08599999999999997,5.52,0.55,3.07,11.04,1.84,4.74,True
20230520,ANA,MIN,20230520ANAMIN,0,1,-0.011,22,54,0.38,1,0.084,0.311,0.049,0.227,0.395,0.025,-0.07999999999999996,3.26,0.34,0.47,4.19,0.93,3.82,False
20230521,ANA,MIN,20230521ANAMIN,-1,0,-0.032,18,58,0.28,0,-0.017,0.014,-0.069,0.031,-0.003,-0.02,-0.09499999999999997,2.67,0.62,5.67,17.67,2.67,5.36,True
20230522,ANA,BOS,20230522ANABOS,-1,1,-0.032,-19,-10,-0.51,-2,0.303,0.556,0.379,0.253,0.859,0.551,-0.015000000000000013,1.0,0.37,3.0,7.0,0.0,2.88,True
20230523,ANA,BOS,20230523ANABOS,0,2,-0.011,-18,-11,-0.48,-1,0.196,0.437,0.265,0.241,0.633,-0.285,-0.01200000000000001,6.58,0.41,1.98,9.22,1.32,4.05,True
20230524,ANA,BOS,20230524ANABOS,1,3,0.009,-14,-15,-0.39,0,0.172,0.347,0.203,0.175,0.519,-0.24,0.0030000000000000027,7.2,0.58,4.2,6.6,1.8,6.03,True
20230526,ANA,MIA,20230526ANAMIA,3,4,0.059,68,-2,1.33,0,0.276,0.485,0.353,0.209,0.761,0.629,0.14600000000000002,5.31,0.48,3.54,13.28,1.33,3.54,False
20230527,ANA,MIA,20230527ANAMIA,2,3,0.038,64,2,1.23,-1,-0.099,-0.067,-0.072,0.032,-0.166,0.02,0.127,2.45,0.61,6.0,18.55,2.45,4.98,False
20230528,ANA,MIA,20230528ANAMIA,1,2,0.019,61,5,1.15,-2,-0.026,0.014,-0.038,0.04,-0.012,0.042,0.11199999999999999,3.75,0.4,1.88,4.5,0.75,3.93,False
20230606,ANA,CHN,20230606ANACHN,5,4,0.067,35,33,0.43,0,0.284,0.459,0.365,0.175,0.743,0.593,0.0030000000000000027,5.57,0.52,3.86,6.0,1.29,5.2,True
20230607,ANA,CHN,20230607ANACHN,6,5,0.083,38,30,0.47,1,0.018,0.182,-0.003,0.164,0.2,-0.027,0.01200000000000001,0.6,0.33,3.0,8.4,0.0,2.43,True
20230608,ANA,CHN,20230608ANACHN,7,6,0.098,42,26,0.53,2,0.087,0.235,0.044,0.148,0.322,-0.13,0.025000000000000022,5.33,0.54,3.55,12.44,1.42,3.81,True
20230609,ANA,SEA,20230609ANASEA,4,5,0.039,43,30,0.47,1,0.26,0.425,0.369,0.165,0.685,0.611,0.020000000000000018,2.31,0.66,6.69,19.38,2.31,4.74,True
20230610,ANA,SEA,20230610ANASEA,5,6,0.054,44,29,0.48,2,0.171,0.261,0.065,0.09,0.432,-0.318,0.02200000000000002,3.6,0.43,2.1,4.2,0.9,4.27,False
20230611,ANA,SEA,20230611ANASEA,4,5,0.038,40,33,0.4,1,-0.03,-0.033,-0.056,-0.003,-0.063,-0.039,0.010000000000000009,4.35,0.35,2.61,8.27,0.87,3.68,True
20230620,ANA,LAN,20230620ANALAN,2,3,0.012,-24,-7,-0.47,0,0.276,0.499,0.364,0.223,0.775,0.602,-0.020000000000000018,4.65,0.52,3.48,12.48,1.16,3.36,False
20230621,ANA,LAN,20230621ANALAN,1,2,-0.001,-26,-5,-0.49,-1,0.055,0.252,0.119,0.197,0.307,-0.091,-0.02400000000000002,2.66,0.7,6.95,19.43,2.66,5.35,False
20230626,ANA,CHA,20230626ANACHA,8,7,0.102,83,-16,1.06,1,0.268,0.467,0.358,0.199,0.735,0.585,0.12700000000000006,3.79,0.45,3.08,12.08,0.95,2.97,True
20230627,ANA,CHA,20230627ANACHA,9,8,0.112,84,-17,1.05,2,0.14,0.225,0.153,0.085,0.365,-0.262,0.12900000000000006,2.47,0.67,6.71,19.24,2.65,5.24,True
20230628,ANA,CHA,20230628ANACHA,10,9,0.123,86,-19,1.07,3,0.066,0.19,0.129,0.124,0.256,-0.104,0.13300000000000006,1.35,0.32,2.7,7.65,0.0,2.45,False
20230629,ANA,CHA,20230629ANACHA,9,8,0.11,80,-13,0.98,2,0.004,-0.006,0.044,-0.01,-0.002,-0.151,0.11500000000000005,4.37,0.47,1.8,5.66,1.03,4.01,False
20230630,ANA,ARI,20230630ANAARI,-4,-2,-0.055,-5,-7,-0.12,0,0.295,0.513,0.399,0.218,0.808,0.527,0.0020000000000000018,4.56,0.38,2.1,9.12,1.4,4.03,False
20230701,ANA,ARI,20230701ANAARI,-5,-3,-0.066,-9,-3,-0.17,-1,0.063,0.114,0.021,0.051,0.177,-0.153,-0.007000000000000006,5.88,0.53,4.15,6.58,1.04,4.75,False
20230702,ANA,ARI,20230702ANAARI,-6,-4,-0.077,-11,-1,-0.19,-2,0.13,0.26,0.131,0.13,0.39,-0.247,-0.01100000000000001,3.4,0.41,3.0,12.2,1.0,2.97,True
20230714,ANA,HOU,20230714ANAHOU,-5,-2,-0.054,26,66,0.29,-3,0.072,0.217,0.139,0.145,0.289,-0.186,-0.04800000000000004,2.35,0.71,7.06,19.94,3.14,5.87,False
20230715,ANA,HOU,20230715ANAHOU,-6,-3,-0.065,24,68,0.26,-4,0.058,0.196,0.088,0.138,0.254,-0.153,-0.051000000000000045,2.23,0.01,3.0,-1.15,-0.06,1.27,True
20230716,ANA,HOU,20230716ANAHOU,-5,-2,-0.053,25,67,0.27,-3,0.011,0.105,0.052,0.094,0.116,-0.106,-0.04700000000000004,1.94,-0.15,2.56,-10.11,-0.63,2.39,False
20230717,ANA,NYA,20230717ANANYA,-6,1,-0.064,55,81,0.59,-1,0.305,0.538,0.401,0.233,0.843,0.496,-0.031000000000000028,5.12,0.38,2.84,9.95,1.42,4.08,True
20230718,ANA,NYA,20230718ANANYA,-5,2,-0.052,56,80,0.59,0,0.056,0.295,0.035,0.239,0.351,-0.053,-0.028000000000000025,5.4,0.49,2.02,6.75,0.9,3.73,True
20230719,ANA,NYA,20230719ANANYA,-4,3,-0.042,60,76,0.63,1,0.097,0.238,0.11,0.141,0.335,-0.11,-0.020000000000000018,5.4,0.56,8.64,7.56,1.08,5.86,True
20230721,ANA,PIT,20230721ANAPIT,7,8,0.067,79,3,0.77,0,0.285,0.513,0.385,0.228,0.798,0.569,0.07800000000000001,2.74,0.78,8.09,20.65,3.32,6.34,True
20230722,ANA,PIT,20230722ANAPIT,8,9,0.077,82,0,0.79,1,0.042,-0.064,0.077,-0.106,-0.022,-0.155,0.08300000000000002,3.63,0.4,3.16,12.0,0.95,2.96,False
20230723,ANA,PIT,20230723ANAPIT,7,8,0.066,79,3,0.76,0,0.091,0.088,0.112,-0.003,0.179,-0.201,0.07700000000000001,4.76,0.54,4.24,7.15,0.79,4.34,True
20230803,ANA,SEA,20230803ANASEA,0,4,-0.005,53,76,0.44,2,-0.013,0.111,-0.009,0.124,0.098,-0.104,-0.025000000000000022,-0.7,-0.3,6.06,7.22,1.74,3.28,False
20230804,ANA,SEA,20230804ANASEA,-1,3,-0.014,51,78,0.42,1,0.033,0.178,0.021,0.145,0.211,-0.137,-0.027000000000000024,-0.87,-0.76,1.69,-2.66,-2.13,-2.27,False
20230805,ANA,SEA,20230805ANASEA,-2,2,-0.022,49,80,0.4,0,0.01,0.1,-0.001,0.09,0.11,-0.12,-0.031000000000000028,4.95,0.53,3.82,7.2,0.9,4.3,False
20230806,ANA,SEA,20230806ANASEA,-3,1,-0.032,48,81,0.38,-1,0.02,0.047,0.013,0.027,0.067,-0.129,-0.03200000000000003,3.86,0.48,6.43,10.93,1.29,4.67,False
20230807,ANA,SFN,20230807ANASFN,-5,1,-0.049,63,75,0.52,0,-0.202,0.052,-0.118,0.254,-0.15,0.203,-0.013000000000000012,4.75,0.45,2.28,7.04,0.95,3.8,False
20230808,ANA,SFN,20230808ANASFN,-6,0,-0.058,58,80,0.47,-1,-0.051,-0.012,-0.019,0.039,-0.063,-0.004,-0.02100000000000002,5.14,0.29,0.0,11.57,2.57,4.24,True
20230809,ANA,SFN,20230809ANASFN,-5,1,-0.048,60,78,0.48,0,0.043,0.084,0.019,0.041,0.127,-0.135,-0.018000000000000016,2.97,0.79,8.17,20.93,3.59,6.69,True
20230818,ANA,TBA,20230818ANATBA,-14,-3,-0.11,-48,116,-0.35,0,0.309,0.577,0.393,0.268,0.886,0.505,-0.132,4.8,0.51,4.0,-1.4,0.8,3.0,False
20230819,ANA,TBA,20230819ANATBA1,-15,-4,-0.117,-51,119,-0.38,-1,-0.029,0.155,0.001,0.184,0.126,-0.065,-0.134,3.43,0.4,4.71,12.43,1.71,4.39,False
20230819,ANA,TBA,20230819ANATBA2,-15,-4,-0.117,-51,119,-0.38,-1,-0.061,0.114,-0.04,0.175,0.053,-0.068,-0.134,4.5,0.43,2.17,7.5,1.0,3.71,False
20230822,ANA,CIN,20230822ANACIN,-5,-3,-0.04,0,24,0.0,0,0.312,0.58,0.401,0.268,0.892,0.489,-0.01699999999999996,4.85,0.31,2.08,11.08,1.38,3.56,False
